Time (S)	CHA (V)	CH1 (V)
9.500	0.251	2.089
9.525	0.251	2.309
9.550	0.251	2.522
9.575	0.251	2.648
9.600	0.251	2.832
9.626	0.251	2.984
9.650	0.251	3.145
9.675	0.251	3.270
9.700	0.251	3.426
9.725	0.251	3.526
9.750	0.251	3.636
9.775	0.251	3.742
9.801	0.251	3.893
9.825	0.252	3.982
9.850	0.251	4.086
9.876	0.251	4.130
9.900	0.251	4.293
9.925	0.251	4.327
9.951	0.251	4.393
9.975	0.251	4.514
10.000	0.251	4.573
10.025	0.251	4.618
10.051	0.251	4.739
10.075	0.251	4.773
10.100	0.251	4.865
10.125	0.251	4.894
10.150	0.252	5.006
10.175	0.251	5.038
10.200	0.251	5.105
10.226	0.251	5.149
10.250	0.251	5.212
10.275	0.251	5.291
10.301	0.251	5.350
10.326	0.251	5.322
10.350	0.251	5.416
10.375	0.251	5.440
10.400	0.251	5.520
10.426	0.251	5.549
10.450	0.251	5.653
10.475	0.251	5.620
10.501	0.252	5.644
10.525	0.251	5.706
10.550	0.251	5.779
10.575	0.251	5.790
10.601	0.251	5.834
10.625	0.251	5.870
10.650	0.251	5.935
10.675	0.251	5.963
10.701	0.251	5.996
10.725	0.251	5.986
10.752	0.251	6.050
10.775	0.251	6.030
10.801	0.251	6.075
10.825	0.251	6.094
10.850	0.251	6.146
10.875	0.251	6.153
10.900	0.251	6.236
10.926	0.251	6.216
10.950	0.251	6.280
10.975	0.251	6.269
11.001	0.251	6.320
11.025	0.251	6.305
11.050	0.251	6.347
11.075	0.251	6.361
11.100	0.251	6.394
11.125	0.251	6.390
11.150	0.251	6.460
11.175	0.251	6.438
11.200	0.251	6.482
11.225	0.251	6.501
11.251	0.251	6.545
11.275	0.251	6.524
11.301	0.251	6.601
11.325	0.251	6.598
11.351	0.251	6.632
11.375	0.251	6.633
11.400	0.251	6.672
11.425	0.251	6.678
11.450	0.251	6.704
11.475	0.252	6.672
11.501	0.251	6.706
11.525	0.251	6.694
11.550	0.251	6.746
11.575	0.251	6.725
11.601	0.251	6.775
11.625	0.251	6.771
11.651	0.252	6.847
11.675	0.251	6.829
11.700	0.251	6.881
11.725	0.252	6.883
11.750	0.251	6.915
11.775	0.251	6.893
11.801	0.251	6.891
11.825	0.252	6.879
11.851	0.251	6.936
11.875	0.251	6.933
11.901	0.001	6.913
11.925	0.001	6.833
11.950	0.001	6.777
11.975	0.001	6.688
12.000	0.001	6.643
12.026	0.001	6.545
12.050	0.001	6.495
12.075	0.001	6.398
12.101	0.001	6.357
12.125	0.001	6.245
12.150	0.001	6.228
12.175	0.001	6.109
12.201	0.001	6.075
12.225	0.001	5.964
12.250	0.001	5.952
12.275	0.001	5.853
12.300	0.001	5.808
12.325	0.001	5.710
12.351	0.001	5.686
12.376	0.001	5.580
12.401	0.001	5.489
12.425	0.001	5.418
12.451	0.001	5.373
12.475	0.001	5.280
12.500	0.001	5.291
12.525	0.001	5.174
12.552	0.001	5.093
12.575	0.001	5.017
12.601	0.001	4.979
12.625	0.001	4.894
12.650	0.001	4.827
12.675	0.001	4.733
12.701	0.001	4.696
12.725	0.001	4.656
12.750	0.001	4.594
12.775	0.001	4.477
12.800	0.001	4.485
12.825	0.001	4.374
12.850	0.001	4.325
12.875	0.001	4.279
12.900	0.001	4.199
12.926	0.001	4.107
12.950	0.001	4.125
12.975	0.001	4.011
13.001	0.001	3.939
13.025	0.001	3.890
13.051	0.001	3.842
13.075	0.001	3.765
13.101	0.001	3.707
13.125	0.001	3.617
13.150	0.001	3.567
13.176	0.001	3.479
13.200	0.001	3.473
13.225	0.001	3.396
13.250	0.001	3.365
13.275	0.001	3.289
13.301	0.001	3.270
13.325	0.001	3.182
13.350	0.001	3.122
13.375	0.001	3.054
13.400	0.001	2.995
13.425	0.001	2.901
13.450	0.001	2.879
13.475	0.001	2.805
13.500	0.001	2.778
13.525	0.001	2.714
13.551	0.001	2.680
13.575	0.001	2.606
13.601	0.001	2.521
13.625	0.001	2.476
13.650	0.001	2.448
13.675	0.001	2.379
13.700	0.001	2.329
13.725	0.001	2.223
13.750	0.001	2.236
13.775	0.001	2.150
13.801	0.001	2.098
13.825	0.001	2.056
13.851	0.001	2.010
13.875	0.001	1.951
13.901	0.002	1.927
13.925	0.001	1.830
13.950	0.001	1.839
13.975	0.001	1.718
14.000	0.001	1.718
14.025	0.001	1.630
14.050	0.001	1.610
14.075	0.001	1.532
14.100	0.002	1.519
14.125	0.001	1.426
14.150	0.001	1.431
14.175	0.002	1.338
14.200	0.001	1.315
14.225	0.001	1.249
14.250	0.001	1.209
14.275	0.001	1.168
14.301	0.001	1.120
14.325	0.001	1.052
14.351	0.001	1.028
14.375	0.001	0.960
14.400	0.251	1.020
14.425	0.251	1.297
14.450	0.251	1.588
14.475	0.252	1.857
14.501	0.251	2.085
14.527	0.251	2.311
14.550	0.251	2.520
14.575	0.251	2.680
14.600	0.251	2.829
14.625	0.251	2.972
14.650	0.250	3.131
14.675	0.251	3.250
14.700	0.251	3.398
14.725	0.251	3.519
14.750	0.251	3.647
14.776	0.251	3.802
14.801	0.252	3.907
14.825	0.251	3.986
14.850	0.251	4.070
14.875	0.252	4.168
14.900	0.251	4.308
14.925	0.252	4.341
14.951	0.251	4.449
14.976	0.251	4.513
15.000	0.251	4.558
15.025	0.251	4.667
15.051	0.251	4.723
15.076	0.251	4.810
15.100	0.251	4.855
15.125	0.251	4.932
15.150	0.251	4.976
15.175	0.251	5.069
15.200	0.251	5.065
15.225	0.251	5.153
15.251	0.251	5.208
15.275	0.251	5.261
15.300	0.251	5.343
15.325	0.251	5.331
15.350	0.251	5.399
15.375	0.251	5.453
15.402	0.251	5.518
15.425	0.252	5.529
15.451	0.251	5.634
15.475	0.251	5.669
15.501	0.251	5.678
15.525	0.251	5.681
15.551	0.251	5.761
15.575	0.251	5.773
15.601	0.252	5.842
15.626	0.251	5.838
15.650	0.251	5.912
15.675	0.251	5.944
15.700	0.251	6.015
15.725	0.251	6.017
15.750	0.251	6.050
15.775	0.251	6.048
15.800	0.251	6.071
15.825	0.251	6.099
15.851	0.251	6.161
15.877	0.251	6.165
15.901	0.251	6.230
15.925	0.251	6.221
15.950	0.251	6.280
15.976	0.251	6.277
16.000	0.251	6.319
16.025	0.251	6.328
16.051	0.251	6.376
16.075	0.251	6.389
16.100	0.251	6.412
16.125	0.251	6.414
16.151	0.251	6.463
16.175	0.251	6.460
16.200	0.251	6.512
16.225	0.251	6.512
16.251	0.251	6.554
16.275	0.251	6.551
16.301	0.251	6.583
16.326	0.251	6.572
16.351	0.251	6.617
16.375	0.251	6.627
16.400	0.251	6.648
16.426	0.251	6.648
16.450	0.251	6.693
16.477	0.251	6.683
16.500	0.251	6.706
16.525	0.251	6.720
16.550	0.251	6.723
16.576	0.251	6.785
16.600	0.251	6.830
16.625	0.251	6.828
16.650	0.252	6.875
16.675	0.251	6.880
16.701	0.251	6.890
16.726	0.252	6.856
16.751	0.251	6.876
16.775	0.251	6.869
16.801	0.251	6.907
16.825	0.251	6.906
16.850	0.251	6.916
16.875	0.251	6.894
16.900	0.001	6.939
16.925	0.001	6.856
16.950	0.001	6.788
16.977	0.001	6.743
17.001	0.001	6.685
17.025	0.001	6.601
17.050	0.001	6.537
17.075	0.001	6.462
17.100	0.001	6.393
17.125	0.001	6.311
17.151	0.001	6.254
17.175	0.001	6.164
17.201	0.001	6.103
17.225	0.001	5.992
17.251	0.001	5.923
17.275	0.001	5.858
17.300	0.001	5.817
17.325	0.001	5.730
17.350	0.001	5.685
17.375	0.001	5.612
17.400	0.001	5.579
17.425	0.001	5.447
17.450	0.001	5.401
17.475	0.001	5.297
17.500	0.001	5.267
17.525	0.001	5.184
17.551	0.001	5.145
17.576	0.001	5.022
17.600	0.001	4.958
17.625	0.001	4.896
17.650	0.001	4.884
17.675	0.001	4.761
17.700	0.001	4.688
17.725	0.001	4.652
17.751	0.001	4.621
17.775	0.001	4.523
17.800	0.001	4.446
17.825	0.001	4.440
17.850	0.001	4.345
17.877	0.001	4.237
17.900	0.001	4.256
17.925	0.002	4.146
17.950	0.001	4.062
17.975	0.001	4.028
18.000	0.001	3.963
18.025	0.001	3.916
18.051	0.001	3.838
18.076	0.001	3.735
18.101	0.001	3.734
18.126	0.001	3.652
18.150	0.001	3.634
18.175	0.001	3.536
18.200	0.001	3.504
18.225	0.001	3.426
18.251	0.001	3.359
18.275	0.001	3.295
18.300	0.001	3.241
18.325	0.001	3.172
18.350	0.001	3.123
18.375	0.001	3.083
18.400	0.001	3.014
18.425	0.001	2.976
18.450	0.001	2.935
18.475	0.001	2.881
18.500	0.001	2.841
18.525	0.001	2.726
18.551	0.001	2.678
18.576	0.001	2.608
18.601	0.001	2.586
18.625	0.001	2.564
18.650	0.001	2.472
18.675	0.001	2.402
18.700	0.001	2.348
18.725	0.001	2.317
18.751	0.001	2.256
18.776	0.001	2.169
18.800	0.001	2.148
18.825	0.001	2.082
18.850	0.001	2.018
18.875	0.001	1.974
18.901	0.001	1.918
18.925	0.001	1.872
18.950	0.001	1.805
18.975	0.001	1.759
19.000	0.001	1.722
19.025	0.001	1.634
19.050	0.001	1.598
19.075	0.001	1.536
19.100	0.001	1.506
19.125	0.001	1.440
19.151	0.001	1.387
19.175	0.001	1.338
19.201	0.001	1.283
19.225	0.001	1.250
19.251	0.001	1.179
19.275	0.001	1.123
19.301	0.001	1.098
19.325	0.001	1.032
19.350	0.001	0.987
19.375	0.001	0.961
19.401	0.251	0.906
19.425	0.251	1.147
19.450	0.251	1.467
19.475	0.251	1.716
19.500	0.251	2.009
19.525	0.251	2.173
19.551	0.251	2.382
19.575	0.251	2.596
19.600	0.251	2.759
19.625	0.252	2.932
19.650	0.251	3.079
19.675	0.251	3.218
19.700	0.251	3.354
19.725	0.251	3.483
19.750	0.251	3.613
19.775	0.251	3.737
19.800	0.251	3.812
19.826	0.251	3.905
19.852	0.251	3.999
19.876	0.251	4.116
19.901	0.251	4.238
19.925	0.251	4.274
19.950	0.251	4.362
19.975	0.251	4.479
20.000	0.251	4.512
