Time (S)	CHA (V)	CH1 (V)	CH2 (V)	CH3 (V)
4.926	1.001	0.039	0.158	-1.647
4.950	1.000	0.168	0.036	-1.692
4.975	1.001	0.280	-0.059	-1.655
5.000	1.001	0.345	-0.150	-1.623
5.026	1.001	0.409	-0.220	-1.624
5.050	1.001	0.452	-0.267	-1.616
5.076	1.001	0.466	-0.309	-1.430
5.100	1.001	0.439	-0.336	-1.288
5.126	1.001	0.384	-0.330	-1.065
5.150	1.001	0.302	-0.315	-0.883
5.175	1.001	0.207	-0.301	-0.753
5.200	1.001	0.101	-0.253	-0.635
5.225	1.001	-0.005	-0.169	-0.516
5.250	1.001	-0.114	-0.075	-0.464
5.275	1.001	-0.199	0.019	-0.453
5.301	1.001	-0.261	0.074	-0.537
5.326	1.001	-0.307	0.123	-0.535
5.350	1.001	-0.341	0.157	-0.536
5.375	1.001	-0.356	0.200	-0.531
5.400	1.001	-0.385	0.221	-0.582
5.425	1.001	-0.370	0.245	-0.676
5.451	1.001	-0.346	0.248	-0.815
5.476	1.001	-0.301	0.242	-0.965
5.500	1.001	-0.233	0.229	-1.102
5.525	1.001	-0.140	0.213	-1.233
5.550	1.001	-0.054	0.181	-1.349
5.576	1.000	0.044	0.106	-1.426
5.600	1.001	0.127	0.035	-1.463
5.625	1.001	0.201	-0.031	-1.456
5.650	1.001	0.243	-0.080	-1.401
5.675	1.001	0.279	-0.121	-1.401
5.700	1.001	0.298	-0.159	-1.406
5.725	1.001	0.333	-0.180	-1.399
5.751	1.001	0.338	-0.209	-1.300
5.775	1.001	0.325	-0.215	-1.201
5.800	1.001	0.279	-0.217	-1.096
5.825	1.001	0.242	-0.199	-0.961
5.850	1.001	0.162	-0.189	-0.869
5.876	1.001	0.095	-0.174	-0.787
5.900	1.001	0.027	-0.144	-0.716
5.925	1.001	-0.040	-0.095	-0.666
5.950	1.001	-0.107	-0.043	-0.642
5.975	1.001	-0.146	0.012	-0.639
6.000	1.001	-0.198	0.033	-0.699
6.025	1.001	-0.208	0.069	-0.700
6.051	1.001	-0.230	0.090	-0.700
6.075	1.001	-0.236	0.113	-0.697
6.100	1.001	-0.260	0.121	-0.706
6.126	1.001	-0.262	0.135	-0.702
6.150	1.001	-0.266	0.143	-0.739
6.175	1.001	-0.248	0.152	-0.797
6.200	1.001	-0.246	0.147	-0.851
6.225	1.001	-0.201	0.146	-0.962
6.250	1.001	-0.167	0.127	-1.060
6.275	1.001	-0.099	0.117	-1.114
6.300	1.001	-0.061	0.096	-1.186
6.325	1.001	0.014	0.083	-1.244
6.350	1.001	0.054	0.043	-1.278
6.375	1.001	0.115	0.006	-1.292
6.400	1.001	0.140	-0.026	-1.268
6.426	1.001	0.160	-0.046	-1.164
6.450	1.001	0.155	-0.055	-1.165
6.475	1.001	0.163	-0.061	-1.161
6.500	1.001	0.164	-0.069	-1.161
6.525	1.001	0.167	-0.071	-1.160
6.550	1.001	0.162	-0.075	-1.161
6.575	1.001	0.169	-0.075	-1.160
6.600	-1.000	0.262	-0.075	-1.160
6.626	-0.999	0.660	-0.238	-1.144
6.650	-0.999	0.944	-0.485	-0.954
6.676	-1.000	1.125	-0.725	-0.615
6.700	-0.999	1.189	-0.843	-0.246
6.725	-0.999	1.162	-0.908	0.175
6.750	-1.000	1.037	-0.931	0.603
6.775	-1.000	0.857	-0.915	1.121
6.800	-0.999	0.598	-0.816	1.548
6.825	-0.999	0.323	-0.567	1.966
6.850	-1.000	0.015	-0.303	2.219
6.876	-1.000	-0.261	-0.054	2.293
6.900	-1.000	-0.466	0.140	2.289
6.925	-0.999	-0.633	0.302	2.280
6.950	-0.999	-0.770	0.441	2.239
6.975	-0.999	-0.829	0.557	1.921
7.000	-0.999	-0.823	0.592	1.608
7.025	-1.000	-0.722	0.630	1.242
7.050	-0.999	-0.587	0.602	0.882
7.075	-0.999	-0.399	0.578	0.584
7.100	-0.999	-0.215	0.410	0.315
7.125	-0.999	0.005	0.232	0.162
7.150	-1.000	0.185	0.061	0.086
7.176	-0.999	0.340	-0.080	0.135
7.200	-0.999	0.442	-0.194	0.146
7.225	-1.000	0.532	-0.289	0.147
7.250	-0.999	0.594	-0.366	0.246
7.275	-0.999	0.611	-0.430	0.448
7.300	-0.999	0.580	-0.447	0.630
7.326	-1.000	0.503	-0.451	0.917
7.350	-0.999	0.392	-0.437	1.135
7.375	-0.999	0.265	-0.401	1.346
7.400	-0.999	0.119	-0.311	1.513
7.425	-0.999	-0.025	-0.180	1.675
7.450	-1.000	-0.167	-0.058	1.723
7.476	-0.999	-0.290	0.055	1.715
7.500	-0.999	-0.375	0.142	1.733
7.525	-0.999	-0.445	0.215	1.732
7.550	-0.999	-0.504	0.289	1.678
7.575	-0.999	-0.522	0.330	1.550
7.600	-0.999	-0.506	0.359	1.338
7.626	-0.999	-0.443	0.366	1.117
7.650	-0.999	-0.353	0.346	0.919
7.675	-0.999	-0.245	0.338	0.759
7.700	-1.000	-0.130	0.280	0.598
7.725	-0.999	0.000	0.177	0.488
7.750	-0.999	0.116	0.068	0.455
7.776	-0.999	0.208	-0.025	0.451
7.800	-0.999	0.281	-0.088	0.458
7.826	-0.999	0.338	-0.151	0.436
7.850	-0.999	0.388	-0.211	0.448
7.875	-1.000	0.421	-0.250	0.451
7.900	-1.000	0.435	-0.279	0.583
7.925	-0.999	0.418	-0.298	0.739
7.950	-1.000	0.367	-0.305	0.911
7.975	-1.000	0.296	-0.287	1.060
8.000	-0.999	0.202	-0.272	1.214
8.025	-1.000	0.107	-0.241	1.338
8.050	-1.000	0.004	-0.175	1.428
8.075	-0.999	-0.086	-0.088	1.475
8.101	-0.999	-0.173	0.002	1.503
8.125	-1.000	-0.231	0.055	1.488
8.150	-0.999	-0.287	0.102	1.500
8.175	-0.999	-0.332	0.148	1.501
8.200	-0.999	-0.365	0.189	1.503
8.226	-0.999	-0.388	0.221	1.427
8.250	-0.999	-0.384	0.245	1.323
8.276	-0.999	-0.354	0.252	1.167
8.300	-0.999	-0.309	0.240	1.033
8.325	-0.999	-0.229	0.233	0.918
8.350	-1.000	-0.163	0.214	0.806
8.375	-0.999	-0.065	0.188	0.703
8.400	-1.000	0.014	0.123	0.615
8.425	-0.999	0.102	0.052	0.576
8.450	-1.000	0.169	-0.018	0.572
8.476	-0.999	0.221	-0.062	0.592
8.500	-0.999	0.258	-0.097	0.602
8.525	-0.999	0.290	-0.141	0.599
8.550	-0.999	0.313	-0.167	0.600
8.575	-0.999	0.336	-0.186	0.598
8.600	-1.000	0.336	-0.211	0.718
8.625	-0.999	0.317	-0.219	0.828
8.650	-1.000	0.269	-0.219	0.974
8.675	-0.999	0.220	-0.198	1.052
8.701	-1.000	0.145	-0.186	1.154
8.725	-1.000	0.084	-0.164	1.258
8.750	-1.000	0.000	-0.133	1.323
8.775	-0.999	-0.066	-0.078	1.361
8.801	-0.999	-0.131	-0.015	1.375
8.826	-0.999	-0.180	0.025	1.342
8.850	-0.999	-0.210	0.055	1.348
8.875	-0.999	-0.234	0.081	1.351
8.900	-0.999	-0.261	0.104	1.350
8.925	-0.999	-0.273	0.130	1.354
8.951	-1.000	-0.290	0.152	1.352
8.975	-0.999	-0.294	0.166	1.277
9.000	-0.999	-0.285	0.169	1.192
9.025	-1.000	-0.249	0.173	1.111
9.050	-1.000	-0.215	0.158	1.023
9.075	-0.999	-0.159	0.147	0.929
9.100	1.001	-0.198	0.130	0.855
9.125	1.001	-0.523	0.177	0.786
9.150	1.001	-0.765	0.380	0.581
9.175	1.001	-0.911	0.546	0.384
9.200	1.001	-0.979	0.671	0.041
9.225	1.001	-0.947	0.732	-0.317
9.250	1.000	-0.858	0.745	-0.675
9.275	1.001	-0.695	0.740	-1.110
9.300	1.001	-0.483	0.684	-1.532
9.325	1.001	-0.224	0.467	-1.922
9.350	1.000	0.035	0.238	-2.067
9.375	1.001	0.257	0.031	-2.136
9.400	1.001	0.441	-0.141	-2.077
9.425	1.001	0.565	-0.278	-2.077
9.450	1.001	0.672	-0.394	-2.003
9.475	1.001	0.716	-0.483	-1.762
9.500	1.001	0.694	-0.524	-1.453
9.525	1.001	0.617	-0.535	-1.136
9.550	1.001	0.480	-0.520	-0.842
9.576	1.000	0.311	-0.478	-0.580
9.600	1.001	0.146	-0.355	-0.372
9.625	1.001	-0.022	-0.207	-0.245
9.650	1.001	-0.186	-0.063	-0.187
9.676	1.001	-0.314	0.066	-0.292
9.700	1.001	-0.401	0.158	-0.251
9.725	1.001	-0.471	0.234	-0.248
9.750	1.001	-0.530	0.306	-0.312
9.775	1.000	-0.543	0.363	-0.451
9.800	1.001	-0.531	0.373	-0.637
9.825	1.001	-0.462	0.383	-0.824
9.850	1.001	-0.380	0.372	-1.081
9.875	1.001	-0.253	0.343	-1.296
9.900	1.001	-0.128	0.294	-1.484
9.925	1.001	0.027	0.185	-1.620
9.950	1.001	0.154	0.048	-1.695
9.975	1.001	0.273	-0.046	-1.660
10.000	1.001	0.342	-0.141	-1.624
10.025	1.001	0.407	-0.207	-1.623
10.050	1.001	0.450	-0.259	-1.624
10.075	1.001	0.471	-0.303	-1.436
10.100	1.001	0.445	-0.329	-1.259
10.125	1.001	0.392	-0.323	-1.069
10.150	1.001	0.297	-0.314	-0.880
10.175	1.001	0.206	-0.299	-0.748
10.200	1.001	0.092	-0.253	-0.616
10.225	1.001	-0.020	-0.167	-0.496
10.250	1.000	-0.125	-0.067	-0.444
10.275	1.001	-0.213	0.021	-0.444
10.300	1.001	-0.274	0.075	-0.518
10.325	1.001	-0.313	0.131	-0.514
10.350	1.000	-0.352	0.167	-0.516
10.375	1.001	-0.368	0.209	-0.512
10.400	1.001	-0.399	0.229	-0.603
10.425	1.001	-0.379	0.250	-0.706
10.450	1.001	-0.345	0.253	-0.846
10.476	1.001	-0.288	0.244	-1.030
10.500	1.001	-0.206	0.227	-1.163
10.525	1.001	-0.111	0.202	-1.303
10.550	1.001	-0.015	0.163	-1.417
10.575	1.001	0.089	0.092	-1.481
10.600	1.001	0.162	-0.002	-1.506
10.625	1.001	0.237	-0.063	-1.447
10.650	1.001	0.279	-0.108	-1.429
10.675	1.000	0.315	-0.151	-1.430
10.700	1.001	0.338	-0.182	-1.429
10.725	1.001	0.361	-0.209	-1.369
10.750	1.001	0.346	-0.230	-1.259
10.775	1.001	0.315	-0.230	-1.110
10.800	1.001	0.254	-0.222	-0.963
10.826	1.000	0.177	-0.208	-0.858
10.850	1.001	0.106	-0.190	-0.760
10.876	1.001	0.021	-0.157	-0.676
10.900	1.001	-0.050	-0.102	-0.618
10.925	1.001	-0.125	-0.040	-0.582
10.950	1.001	-0.182	0.018	-0.585
10.975	1.001	-0.211	0.056	-0.648
11.000	1.001	-0.251	0.086	-0.656
11.025	1.001	-0.263	0.118	-0.652
11.050	1.001	-0.280	0.139	-0.652
11.075	1.001	-0.290	0.154	-0.652
11.100	1.001	-0.304	0.166	-0.691
11.125	1.001	-0.287	0.175	-0.788
11.150	1.001	-0.266	0.176	-0.847
11.175	1.001	-0.221	0.164	-0.979
11.200	1.001	-0.164	0.155	-1.100
11.225	1.001	-0.099	0.138	-1.192
11.250	1.001	-0.031	0.118	-1.284
11.276	1.001	0.048	0.082	-1.344
11.300	1.001	0.112	0.030	-1.362
11.325	1.001	0.165	-0.020	-1.352
11.350	1.001	0.190	-0.052	-1.272
11.375	1.001	0.219	-0.077	-1.267
11.400	1.001	0.225	-0.101	-1.272
11.425	1.001	0.238	-0.112	-1.269
11.450	1.001	0.243	-0.129	-1.271
11.475	1.001	0.256	-0.138	-1.282
11.500	1.001	0.246	-0.145	-1.171
11.525	1.001	0.227	-0.144	-1.096
11.550	1.000	0.190	-0.136	-1.008
11.575	1.001	0.149	-0.121	-0.939
11.600	-0.999	0.186	-0.107	-0.880
11.625	-0.999	0.522	-0.161	-0.839
11.650	-1.000	0.769	-0.376	-0.677
11.676	-0.999	0.943	-0.565	-0.423
11.700	-0.999	1.002	-0.696	-0.082
11.725	-0.999	0.993	-0.756	0.271
11.750	-0.999	0.890	-0.773	0.661
11.775	-0.999	0.727	-0.768	1.116
11.800	-0.999	0.513	-0.730	1.475
11.825	-0.999	0.272	-0.506	1.840
11.850	-0.999	0.010	-0.291	2.077
11.875	-0.999	-0.233	-0.072	2.187
11.900	-0.999	-0.427	0.110	2.160
11.925	-1.000	-0.570	0.261	2.164
11.950	-1.000	-0.699	0.375	2.133
11.975	-1.000	-0.758	0.484	1.880
