Time (S)	CHA (V)	CH2 (V)	CH3 (V)
12.025	2.001	-0.624	5.906
12.050	2.001	-0.629	5.164
12.075	2.001	-0.602	4.362
12.100	2.001	-0.584	3.442
12.125	2.001	-0.536	2.469
12.150	2.001	-0.498	1.340
12.175	2.001	-0.433	0.344
12.200	2.001	-0.380	-0.784
12.225	2.001	-0.305	-1.946
12.250	2.001	-0.241	-3.045
12.276	2.001	-0.149	-4.253
12.300	2.001	-0.087	-5.364
12.325	2.001	0.006	-6.529
12.350	2.001	0.080	-7.692
12.375	2.001	0.175	-8.739
12.400	2.001	0.248	-9.762
12.426	2.001	0.348	-10.711
12.451	2.001	0.377	-4.295
12.475	2.001	0.304	-0.448
12.500	2.001	0.201	-0.053
12.526	2.001	0.133	-0.002
12.550	2.001	0.066	-0.012
12.575	2.001	0.029	0.002
12.600	2.001	0.041	-14.201
12.625	2.001	0.250	-14.191
12.650	2.001	0.390	-14.203
12.675	2.001	0.521	-14.191
12.700	2.001	0.605	-14.203
12.725	2.001	0.690	-14.191
12.751	2.001	0.743	-14.202
12.775	2.001	0.695	-2.360
12.800	2.001	0.523	-0.228
12.825	2.000	0.389	-0.020
12.850	2.001	0.268	-0.012
12.875	2.001	0.311	-10.975
12.900	2.001	0.381	-10.231
12.925	2.001	0.440	-9.541
12.950	2.001	0.457	-8.716
12.975	2.001	0.474	-7.858
13.000	2.001	0.455	-6.857
13.025	2.001	0.440	-5.817
13.051	2.001	0.391	-4.770
13.075	2.001	0.357	-3.799
13.100	2.001	0.298	-2.655
13.125	2.001	0.237	-1.618
13.150	2.001	0.169	-0.544
13.175	2.001	0.112	0.445
13.200	2.001	0.029	1.444
13.226	2.001	-0.038	2.679
13.250	2.001	-0.125	3.723
13.275	2.001	-0.192	4.658
13.300	2.001	-0.278	5.449
13.325	2.000	-0.345	6.248
13.350	2.001	-0.423	6.868
13.375	2.001	-0.480	7.416
13.400	2.001	-0.550	7.989
13.425	2.000	-0.596	8.403
13.450	2.001	-0.655	8.760
13.476	2.001	-0.697	9.033
13.500	2.001	-0.743	9.129
13.525	2.001	-0.764	9.131
13.550	2.001	-0.798	9.113
13.575	2.001	-0.806	8.744
13.600	2.001	-0.821	8.158
13.625	2.001	-0.804	7.607
13.650	2.001	-0.799	6.837
13.675	2.001	-0.765	6.061
13.700	2.001	-0.744	5.236
13.725	2.001	-0.689	4.300
13.750	2.001	-0.654	3.254
13.775	2.001	-0.589	2.232
13.800	2.001	-0.537	1.005
13.825	2.001	-0.459	-0.073
13.850	2.001	-0.393	-1.273
13.875	2.001	-0.307	-2.465
13.900	2.001	-0.233	-3.737
13.925	2.001	-0.138	-4.986
13.950	2.001	-0.057	-6.253
13.975	2.001	0.044	-7.513
14.000	2.001	0.127	-8.702
14.025	2.001	0.228	-9.796
